Date,Open,High,Low,Close,Volume,Adj Close
1988-12-05,28.625,29.0,28.625,28.75,39020800,0.353981
1988-12-06,28.75,29.0,28.625,28.75,31532800,0.353981
1988-12-07,28.75,28.875,28.125,28.125,27776000,0.34628600000000004
1988-12-08,28.125,28.25,27.25,27.25,21081600,0.335512
1988-12-09,27.25,27.5,27.125,27.375,18393600,0.33705100000000005
1988-12-12,27.375,27.375,27.125,27.125,19532800,0.33581
1988-12-13,27.125,27.875,27.125,27.875,16729600,0.345095
1988-12-14,27.875,27.875,26.625,26.75,37843200,0.33116799999999996
1988-12-15,26.75,26.875,24.75,25.25,87148800,0.312598
1988-12-16,25.25,26.75,24.875,25.375,106201600,0.314145
1988-12-19,25.375,25.375,24.375,24.625,53030400,0.30485999999999996
1988-12-20,24.625,25.125,24.625,24.75,41984000,0.306408
1988-12-21,24.75,25.625,24.75,25.25,37158400,0.312598
1988-12-22,25.375,26.125,25.375,26.0,38585600,0.321883
1988-12-23,26.0,26.375,26.0,26.375,10316800,0.326525
1988-12-27,26.375,26.625,26.25,26.375,20121600,0.326525
1988-12-28,26.375,26.75,26.375,26.5,12454400,0.328073
1988-12-29,26.5,26.875,26.5,26.625,22284800,0.32961999999999997
1988-12-30,26.625,26.75,26.5,26.5,13344000,0.328073
1989-01-03,26.5,26.875,26.125,26.75,19104000,0.33116799999999996
1989-01-04,26.875,27.5,26.875,27.5,13427200,0.340453
1989-01-05,27.5,27.5,26.5,26.625,22009600,0.32961999999999997
1989-01-06,26.625,26.625,25.875,26.25,20928000,0.32497800000000004
1989-01-09,26.25,26.25,25.25,25.875,25523200,0.320335
1989-01-10,25.875,26.25,25.75,25.875,30400000,0.320335
1989-01-11,25.875,26.5,25.875,26.5,37708800,0.328073
1989-01-12,26.5,26.75,26.25,26.25,22412800,0.32497800000000004
1989-01-13,26.25,26.75,25.875,26.5,26784000,0.328073
1989-01-16,26.75,27.5,26.75,27.25,55584000,0.337358
1989-01-17,27.25,28.25,27.25,27.875,20396800,0.345095
1989-01-18,27.875,29.125,27.875,29.0,34156800,0.359023
1989-01-19,29.0,29.5,28.875,29.375,36480000,0.363666
1989-01-20,29.375,30.125,29.25,29.5,41491200,0.365213
1989-01-23,29.625,30.125,29.625,30.0,20345600,0.37140300000000004
1989-01-24,30.0,31.0,29.625,30.75,36032000,0.380688
1989-01-25,30.75,31.25,30.5,30.625,21612800,0.379141
1989-01-26,30.625,30.875,30.375,30.875,14188800,0.382236
1989-01-27,30.75,30.75,29.25,29.5,22944000,0.365213
1989-01-30,29.5,30.375,29.375,29.875,25145600,0.369856
1989-01-31,29.875,30.5,29.5,30.25,29804800,0.374498
1989-02-01,30.25,31.125,30.25,31.125,23488000,0.385331
1989-02-02,31.125,32.0,31.0,32.0,20262400,0.396163
1989-02-03,32.0,33.125,31.75,32.75,28544000,0.405449
1989-02-06,32.75,32.875,32.375,32.625,21497600,0.403901
1989-02-07,32.625,33.25,32.625,32.875,18432000,0.406996
1989-02-08,32.875,33.125,32.25,32.375,16102400,0.400806
1989-02-09,32.375,32.375,31.5,31.5,25734400,0.389973
1989-02-10,31.5,31.5,30.375,30.625,20320000,0.379141
1989-02-13,30.625,31.0,30.5,30.625,25542400,0.379141
1989-02-14,30.625,31.0,30.25,30.375,16531200,0.376046
1989-02-15,30.375,30.75,30.375,30.375,5862400,0.376046
1989-02-16,30.375,30.625,30.375,30.375,5900800,0.376046
1989-02-17,30.375,30.75,30.25,30.375,9990400,0.376046
1989-02-21,30.375,30.75,30.125,30.375,12864000,0.376046
1989-02-22,30.375,30.5,29.625,30.0,19091200,0.37140300000000004
1989-02-23,30.0,30.0,29.5,29.75,23776000,0.36830799999999997
1989-02-24,29.75,29.875,29.5,29.5,12947200,0.365213
1989-02-27,29.5,29.625,29.25,29.625,11840000,0.366761
1989-02-28,29.625,30.125,29.5,30.0,13164800,0.37140300000000004
1989-03-01,30.0,30.5,29.625,29.875,18688000,0.371711
1989-03-02,29.875,30.125,29.75,30.125,8486400,0.374822
1989-03-03,30.125,30.625,30.0,30.375,11308800,0.377932
1989-03-06,30.375,31.5,30.375,31.375,24614400,0.390375
1989-03-07,31.375,31.375,31.0,31.375,7360000,0.390375
1989-03-08,31.375,32.0,31.125,31.875,23993600,0.396596
1989-03-09,31.875,32.625,31.75,32.5,20499200,0.40437199999999995
1989-03-10,32.5,33.75,32.375,33.25,28800000,0.413704
1989-03-13,33.125,33.125,32.5,32.75,17856000,0.407483
1989-03-14,32.75,32.75,31.5,31.875,16531200,0.396596
1989-03-15,31.875,32.25,31.75,32.125,12403200,0.399706
1989-03-16,32.25,32.875,32.25,32.625,5945600,0.405927
1989-03-17,32.375,32.375,31.125,31.5,25088000,0.39193
1989-03-20,31.5,34.125,31.5,34.0,44000000,0.42303500000000005
1989-03-21,34.0,34.5,33.625,33.875,50547200,0.42148
1989-03-22,33.875,34.0,33.5,33.5,25011200,0.416814
1989-03-23,33.5,33.625,32.875,33.0,23232000,0.41059300000000004
1989-03-27,32.875,32.875,32.625,32.875,5894400,0.409038
1989-03-28,32.875,33.5,32.5,32.625,15008000,0.405927
1989-03-29,32.625,32.75,32.5,32.625,19436800,0.405927
1989-03-30,32.625,33.625,32.5,33.5,13478400,0.416814
1989-03-31,33.5,33.75,33.375,33.625,11091200,0.41836999999999996
1989-04-03,33.625,34.875,33.5,34.625,29715200,0.430812
1989-04-04,34.75,35.375,34.75,35.0,34822400,0.435478
1989-04-05,35.0,35.125,34.375,34.875,10886400,0.43392200000000003
1989-04-06,34.875,36.375,34.625,36.25,22572800,0.45103000000000004
1989-04-07,36.25,37.0,36.0,36.375,22630400,0.452586
1989-04-10,36.375,36.75,36.25,36.25,10777600,0.45103000000000004
1989-04-11,36.25,36.875,36.0,36.0,22579200,0.44792
1989-04-12,36.0,36.5,35.875,36.375,7494400,0.452586
1989-04-13,36.375,36.625,36.125,36.5,13676800,0.45414099999999996
1989-04-14,36.5,37.375,36.5,37.0,13849600,0.460362
1989-04-17,37.0,37.5,36.625,37.25,18995200,0.46347299999999997
1989-04-18,37.25,37.75,37.125,37.25,15225600,0.46347299999999997
1989-04-19,37.375,37.75,37.375,37.5,9958400,0.46658299999999997
1989-04-20,37.5,37.5,36.375,37.125,15180800,0.461917
1989-04-21,37.125,37.375,37.0,37.25,6150400,0.46347299999999997
1989-04-24,37.25,37.375,37.0,37.125,4371200,0.461917
1989-04-25,37.125,37.25,36.375,36.375,18988800,0.452586
1989-04-26,36.375,36.5,36.0,36.125,16032000,0.449475
1989-04-27,36.125,36.75,36.125,36.625,9312000,0.455696
1989-04-28,36.625,36.75,36.375,36.625,6547200,0.455696
1989-05-01,36.625,37.25,36.25,37.25,10643200,0.46347299999999997
1989-05-02,37.25,38.125,37.25,37.625,16153600,0.468138
1989-05-03,37.625,38.125,37.625,38.125,16012800,0.47436000000000006
1989-05-04,38.0,38.0,37.75,37.75,10566400,0.46969399999999994
1989-05-05,37.875,38.5,37.875,38.25,12896000,0.475915
1989-05-08,38.25,39.375,38.125,39.375,18163200,0.489912
1989-05-09,39.375,39.75,39.25,39.5,10681600,0.491468
1989-05-10,39.5,39.625,38.875,38.875,13171200,0.483691
1989-05-11,38.875,39.25,38.375,38.375,6457600,0.47747
1989-05-12,38.375,38.875,38.125,38.375,6899200,0.47747
1989-05-15,38.375,38.375,37.75,37.75,15577600,0.46969399999999994
1989-05-16,37.75,38.0,37.375,37.625,16243200,0.468138
1989-05-17,37.625,37.875,37.375,37.625,24044800,0.468138
1989-05-18,37.625,37.625,37.25,37.375,18137600,0.465028
1989-05-19,37.375,38.375,37.375,38.25,34374400,0.475915
1989-05-22,38.25,38.625,38.125,38.5,21587200,0.479025
1989-05-23,38.5,38.625,37.875,37.875,14092800,0.471249
1989-05-24,37.875,37.875,37.5,37.75,19699200,0.46969399999999994
1989-05-25,37.75,37.875,37.5,37.5,10060800,0.46658299999999997
1989-05-26,37.5,38.0,37.5,38.0,10649600,0.472804
1989-05-30,38.0,38.125,37.375,37.625,18035200,0.468138
1989-05-31,37.625,38.25,37.375,38.0,36377600,0.472804
1989-06-01,38.0,38.375,38.0,38.375,19891200,0.47747
1989-06-02,38.375,40.125,38.125,40.125,94860800,0.49924399999999997
1989-06-05,40.125,40.25,39.625,39.875,45894400,0.496133
1989-06-06,39.875,42.5,39.875,42.375,56064000,0.527239
1989-06-07,42.625,45.375,42.625,45.0,86873600,0.5599
1989-06-08,45.0,45.625,44.5,44.75,66432000,0.556789
1989-06-09,44.75,44.75,43.5,43.875,22502400,0.545902
1989-06-12,43.875,43.875,42.625,42.875,14784000,0.535287
1989-06-13,42.875,42.875,41.5,42.625,27193600,0.532166
1989-06-14,42.625,43.0,41.125,41.625,17798400,0.5196810000000001
1989-06-15,41.625,41.625,40.5,41.125,24249600,0.513439
1989-06-16,41.125,41.75,40.875,41.25,17472000,0.514999
1989-06-19,41.25,42.0,40.625,41.875,16121600,0.522802
1989-06-20,41.875,42.375,41.75,42.125,15168000,0.525924
1989-06-21,42.125,43.625,41.75,42.625,23302400,0.532166
1989-06-22,42.625,42.75,42.0,42.375,13664000,0.529045
1989-06-23,42.5,43.0,42.5,43.0,11596800,0.536848
